                 table_name                 |            column_name
 ts_tag_action                              | tag_id
 ts_tag_action                              | user_id
 ts_tag_action                              | zendesk_id
 ts_tags                                    | parent_id
 ts_users                                   | user_id
 ts_violations                              | parent_id
 unique_items                               | product_id
 user_blocking                              | blocked_user_id
 user_blocking                              | blocker_user_id
 user_challenge                             | user_id
 user_cross_stream_keys                     | user_id
 user_device                                | user_id
 user_external_oauth_ids                    | internal_user_id
 user_follows                               | followee_id
 user_follows                               | follower_id
 user_incentive_targeting                   | user_id
 user_livestream_preferences                | user_id
 user_loyalty_preferences                   | user_id
 user_loyalty_status                        | loyalty_program_id
 user_loyalty_status                        | member_user_id
 user_loyalty_status                        | order_id
 user_notifications_hub_state               | user_id
 user_object_action                         | object_id
 user_object_action                         | user_id
 user_passwords_history                     | user_id
 user_permission_action                     | ts_action_id
 user_permission_action                     | user_id
 user_permission_action                     | user_permission_id
 user_permissions                           | restriction_id
 user_permissions                           | user_id
 user_preferences                           | gifting_address_id
 user_preferences                           | user_id
 user_profiles                              | return_address_id
 user_profiles                              | user_id
 user_reports                               | listing_id
 user_reports                               | parent_id
 user_reports                               | report_reason_id
 user_reports                               | reporter_id
 user_reports                               | ts_violation_id
 user_reports                               | user_being_reported_id
 user_reports                               | zendesk_id
 user_state                                 | user_id
 user_strikes                               | listing_id
 user_strikes                               | order_item_id
 user_strikes                               | user_id
 users                                      | billing_address_id
 users                                      | default_card_id
 users                                      | default_shipping_address_id
 users                                      | home_address_id
 users_to_be_synchronized_with_userclouds   | user_id
 validated_addresses                        | address_id
 validated_addresses                        | user_id
 verification_request_line_items            | verification_request_id
 verification_requests                      | order_item_id
 verification_requests                      | payment_id
 verification_requests                      | verification_submission_id
 videos                                     | reference_id
 wallet_entry                               | user_id
 webhook_events                             | seller_id
 zendesk_conversations                      | zendesk_user_id
 zendesk_users                              | user_id
(465 rows)
